date,Kaliningrad-pm2.5-AQI,Kaliningrad-pm10-AQI,Veldhoven-pm2.5-AQI,Veldhoven-pm10-AQI
2020-01-30,72.0,15.0,25.0,7.0
2020-01-31,55.0,13.0,18.0,12.0
2020-02-01,46.0,5.0,24.0,18.0
2020-02-02,19.0,16.0,27.0,20.0
2020-02-03,49.0,26.0,32.0,9.0
2020-02-04,80.0,13.0,25.0,13.0
2020-02-05,44.0,4.0,46.0,27.0
2020-02-06,13.0,20.0,73.0,26.0
2020-02-07,58.0,31.0,77.0,18.0
2020-02-08,90.0,54.0,56.0,9.0
2020-02-09,142.0,12.0,31.0,18.0
2020-02-10,43.0,7.0,27.0,14.0
2020-02-11,26.0,5.0,20.0,13.0
2020-02-12,20.0,11.0,30.0,11.0
2020-02-13,35.0,37.0,25.0,11.0
2020-02-14,105.0,68.0,31.0,14.0
2020-02-15,157.0,32.0,38.0,7.0
2020-02-16,96.0,8.0,14.0,11.0
2020-02-17,28.0,9.0,21.0,12.0
2020-02-18,36.0,15.0,29.0,10.0
2020-02-19,53.0,12.0,27.0,10.0
2020-02-20,45.0,21.0,32.0,13.0
2020-02-21,64.0,12.0,30.0,8.0
2020-02-22,45.0,8.0,25.0,11.0
2020-02-23,27.0,9.0,22.0,10.0
2020-02-24,31.0,23.0,22.0,9.0
2020-02-25,74.0,13.0,16.0,7.0
2020-02-26,48.0,6.0,18.0,7.0
2020-02-27,23.0,12.0,31.0,8.0
2020-02-28,42.0,16.0,37.0,22.0
2020-02-29,56.0,15.0,41.0,11.0
2020-03-01,54.0,21.0,21.0,8.0
2020-03-02,70.0,43.0,20.0,15.0
2020-03-03,123.0,28.0,42.0,13.0
2020-03-04,81.0,37.0,45.0,10.0
2020-03-05,105.0,30.0,37.0,14.0
2020-03-06,89.0,44.0,44.0,15.0
2020-03-07,115.0,21.0,56.0,8.0
2020-03-08,70.0,39.0,37.0,13.0
2020-03-09,115.0,38.0,32.0,7.0
2020-03-10,109.0,16.0,17.0,5.0
2020-03-11,52.0,12.0,19.0,11.0
2020-03-20,51.0,11.0,43.0,10.0
2020-03-21,39.0,8.0,33.0,10.0
2020-03-22,30.0,24.0,32.0,13.0
2020-03-23,63.0,41.0,35.0,18.0
2020-03-24,111.0,64.0,45.0,21.0
2020-03-25,153.0,55.0,59.0,25.0
2020-03-26,135.0,84.0,66.0,36.0
2020-03-27,181.0,88.0,78.0,34.0
2020-03-28,191.0,22.0,80.0,15.0
2020-04-01,56.0,18.0,44.0,18.0
2020-04-02,63.0,16.0,49.0,18.0
2020-04-03,54.0,9.0,40.0,17.0
2020-04-04,32.0,22.0,40.0,20.0
2020-04-05,65.0,34.0,47.0,20.0
2020-04-06,101.0,39.0,45.0,24.0
2020-04-07,113.0,29.0,62.0,30.0
2020-04-08,75.0,30.0,61.0,32.0
2020-04-09,88.0,24.0,68.0,20.0
2020-04-10,72.0,31.0,37.0,18.0
2020-04-11,88.0,34.0,39.0,25.0
2020-04-12,94.0,15.0,59.0,18.0
2020-04-13,50.0,7.0,39.0,14.0
2020-04-14,26.0,22.0,33.0,26.0
2020-04-15,68.0,24.0,61.0,31.0
2020-04-16,72.0,10.0,65.0,21.0
2020-04-17,33.0,11.0,40.0,34.0
2020-04-18,39.0,13.0,66.0,33.0
2020-04-19,45.0,7.0,68.0,22.0
2020-04-20,31.0,12.0,32.0,21.0
2020-04-21,43.0,17.0,37.0,22.0
2020-04-22,56.0,11.0,40.0,23.0
2020-04-23,40.0,17.0,52.0,29.0
